# version: e109_eg56_p17_1d3191d
# date: 9/8/2023, 11:36:46 AM
# organism: mmusculus
# all results: false
# ordered: false
# no iea: false
# sources: GO:MF,GO:BP,GO:CC,KEGG,REAC,WP,TF,MIRNA,HPA,CORUM,HP
# combined: false
# numeric ns: ENTREZGENE_ACC
# domain scope: annotated
# measure underrepresentation: false
# significance threshold method: g_SCS
# user threshold: 0.05
# no evidences: false
# query genes included: query_1<ENSMUSG00000032826,ENSMUSG00000069601,ENSMUSG00000046876,ENSMUSG00000035131,ENSMUSG00000064115,ENSMUSG00000054423,ENSMUSG00000039578,ENSMUSG00000040452,ENSMUSG00000040420,ENSMUSG00000046159,ENSMUSG00000030075,ENSMUSG00000064293,ENSMUSG00000039419,ENSMUSG00000060924,ENSMUSG00000022311,ENSMUSG00000063063,ENSMUSG00000060843,ENSMUSG00000022240,ENSMUSG00000060534,ENSMUSG00000036095,ENSMUSG00000048264,ENSMUSG00000045103,ENSMUSG00000036815,ENSMUSG00000062209,ENSMUSG00000036617,ENSMUSG00000025551,ENSMUSG00000049176,ENSMUSG00000029212,ENSMUSG00000071424,ENSMUSG00000056073,ENSMUSG00000021730,ENSMUSG00000042807,ENSMUSG00000053465,ENSMUSG00000052372,ENSMUSG00000092083,ENSMUSG00000060882,ENSMUSG00000059742,ENSMUSG00000029088,ENSMUSG00000028033,ENSMUSG00000045083,ENSMUSG00000035653,ENSMUSG00000049252,ENSMUSG00000050587,ENSMUSG00000028176,ENSMUSG00000052581,ENSMUSG00000068205,ENSMUSG00000045095,ENSMUSG00000040003,ENSMUSG00000034751,ENSMUSG00000034912,ENSMUSG00000019888,ENSMUSG00000020181,ENSMUSG00000027799,ENSMUSG00000040037,ENSMUSG00000069670,ENSMUSG00000063887,ENSMUSG00000062991,ENSMUSG00000022307,ENSMUSG00000029108,ENSMUSG00000055421,ENSMUSG00000021699,ENSMUSG00000054728,ENSMUSG00000051177,ENSMUSG00000053825,ENSMUSG00000028399,ENSMUSG00000039717,ENSMUSG00000026527,ENSMUSG00000041670,ENSMUSG00000037386,ENSMUSG00000022883,ENSMUSG00000039539,ENSMUSG00000025909,ENSMUSG00000035864,ENSMUSG00000053477,ENSMUSG00000049336,ENSMUSG00000051951>
# query genes not included: PAK7
# query genes duplicates: none
"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein binding","GO:0005515","true","1.3931952673315474e-8","7.855988009504704","10491","74","59","25177","ANK2,ANK3,ATXN1,CADM2,CADPS,CDH12,CDH18,CHRM3,CNTN3,CNTN4,CNTNAP2,CTNNA2,CTNNA3,CTNND2,DCC,DMD,DPP10,ERBB4,ETL4,FGF14,FRMPD4,GABRB1,GRID2,GRIK2,HCN1,HECW2,KCNB2,KCND2,KCNQ5,LINGO2,LRFN5,LRP1B,LRRC4C,LRRC7,LRRTM4,MAGI1,MAGI2,MAST4,MDGA2,NAV3,NBEA,NLGN1,NRG1,PCDH7,PCDH9,PDE4D,PHACTR1,PLCB1,PPFIA2,PTPRD,RALYL,RGS7,RIMS1,RIMS2,ROBO1,SGCZ,SNTG1,SYT1,TCF4"
"GO:MF","cell adhesion molecule binding","GO:0050839","false","0.00000829290797035094","5.081293154126967","292","74","10","25177","ANK3,CDH12,CDH18,CTNNA2,CTNNA3,DMD,LRRC4C,NLGN1,NRG1,PTPRD"
"GO:MF","potassium channel activity","GO:0005267","true","0.000035925359611007556","4.444598875906484","119","74","7","25177","GRIK2,HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","monoatomic ion gated channel activity","GO:0022839","false","0.00017685361263491075","3.7523860643118696","308","74","9","25177","GABRB1,GRID2,GRIK2,HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","gated channel activity","GO:0022836","false","0.00019708605287531843","3.7053441082096743","312","74","9","25177","GABRB1,GRID2,GRIK2,HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","potassium ion transmembrane transporter activity","GO:0015079","false","0.00022896629465752992","3.6402284439553116","156","74","7","25177","GRIK2,HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","cadherin binding","GO:0045296","false","0.0008741974361873295","3.0583904715266774","66","74","5","25177","ANK3,CDH12,CDH18,CTNNA2,CTNNA3"
"GO:MF","monoatomic ion channel activity","GO:0005216","false","0.002719996142674041","2.565431711854245","429","74","9","25177","GABRB1,GRID2,GRIK2,HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","transmembrane transporter binding","GO:0044325","false","0.002810337619846112","2.551241503002994","147","74","6","25177","ANK2,ANK3,DPP10,KCNB2,PDE4D,RIMS2"
"GO:MF","phosphatidylinositol-4,5-bisphosphate binding","GO:0005546","true","0.003852654372621409","2.4142399504461594","89","74","5","25177","CADPS,FRMPD4,HCN1,PLCB1,SYT1"
"GO:MF","voltage-gated potassium channel activity","GO:0005249","false","0.005037110519255068","2.2978185201813885","94","74","5","25177","HCN1,KCNB2,KCND2,KCNH7,KCNQ5"
"GO:MF","passive transmembrane transporter activity","GO:0022803","false","0.007035301134779563","2.1527173085527473","483","74","9","25177","GABRB1,GRID2,GRIK2,HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","channel activity","GO:0015267","false","0.007035301134779563","2.1527173085527473","483","74","9","25177","GABRB1,GRID2,GRIK2,HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","voltage-gated monoatomic ion channel activity","GO:0005244","false","0.012885279624842528","1.8899061523394314","192","74","6","25177","HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","voltage-gated channel activity","GO:0022832","false","0.013268009635740857","1.8771942217510205","193","74","6","25177","HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","phosphatidylinositol bisphosphate binding","GO:1902936","false","0.01342558120059595","1.8720669043808766","115","74","5","25177","CADPS,FRMPD4,HCN1,PLCB1,SYT1"
"GO:MF","PDZ domain binding","GO:0030165","true","0.015200961829685784","1.8181289315217137","118","74","5","25177","CNTNAP2,DMD,GRID2,GRIK2,NLGN1"
"GO:MF","monoatomic cation channel activity","GO:0005261","false","0.023662396304580977","1.625941276227173","316","74","7","25177","GRIK2,HCN1,KCNB2,KCND2,KCNH7,KCNIP4,KCNQ5"
"GO:MF","calcium ion binding","GO:0005509","true","0.027874967362552128","1.5547856324378388","720","74","10","25177","CADPS,CDH12,CDH18,DGKB,KCNIP4,LRP1B,PCDH7,PCDH9,PLCB1,SYT1"
"GO:MF","ligand-gated monoatomic ion channel activity","GO:0015276","false","0.030015232559955682","1.522658287353445","136","74","5","25177","GABRB1,GRID2,GRIK2,HCN1,KCNH7"
