gene_id	WT_rep1	WT_rep2	WT_rep3	R168X_rep1	R168X_rep2	R168X_rep3
0610005C13Rik	0.00	0.00	0.00	0.00	0.00	0.00
0610009B22Rik	241.83	178.00	138.98	261.95	228.71	306.76
0610009E02Rik	4.00	4.00	3.00	7.00	2.00	6.00
0610009L18Rik	14.00	13.00	4.00	13.00	9.00	16.00
0610010F05Rik	1795.00	1605.00	1102.00	2143.00	1976.00	2725.00
0610010K14Rik	320.00	278.00	207.00	289.00	263.00	440.00
0610012G03Rik	197.00	176.00	122.00	175.00	161.00	265.00
0610030E20Rik	398.00	301.00	253.00	293.00	243.00	313.00
0610031O16Rik	0.00	0.00	0.00	0.00	0.00	0.00
0610038B21Rik	5.00	3.00	1.00	0.00	1.00	2.00
0610039H22Rik	1.00	2.00	0.00	0.00	0.00	0.00
0610039K10Rik	2.00	4.00	1.00	5.00	1.00	0.00
0610040B10Rik	13.00	4.00	2.00	10.00	5.00	14.00
0610040F04Rik	1.00	0.00	0.00	0.00	0.00	0.00
0610040J01Rik	2.00	4.00	2.00	4.00	0.00	2.00
0610043K17Rik	3.00	4.00	3.00	1.00	4.00	3.00
1010001N08Rik	8.00	4.00	0.00	0.00	0.00	4.00
1110002J07Rik	17.00	24.00	21.00	34.00	28.00	36.00
1110002L01Rik	197.00	159.00	96.00	198.00	229.00	250.00
1110004F10Rik	1270.00	1069.00	781.00	1522.00	1668.00	2116.00
1110006O24Rik	9.00	15.00	6.00	7.00	7.00	17.00
1110008L16Rik	187.00	159.00	108.00	213.00	221.00	276.00
1110008P14Rik	140.00	116.00	80.00	147.00	124.00	195.00
1110012L19Rik	232.00	177.00	121.00	194.00	171.00	309.00
1110015O18Rik	2.00	0.00	0.00	0.00	0.00	1.00
1110017D15Rik	1.00	3.00	0.00	8.00	5.00	5.00
1110019D14Rik	45.00	20.00	21.00	40.00	27.00	37.00
1110020A21Rik	4.00	7.00	4.00	4.00	7.00	4.00
1110025L11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110028F11Rik	0.00	1.00	1.00	1.00	1.00	0.00
1110028F18Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110032A03Rik	191.00	137.00	109.00	214.00	210.00	224.98
1110032F04Rik	0.00	2.00	0.00	0.00	0.00	1.00
1110036E04Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110038B12Rik	195.00	158.00	128.00	156.00	121.00	222.00
1110038F14Rik	266.00	236.00	145.00	215.00	191.00	361.00
1110046J04Rik	11.00	27.00	12.00	18.00	13.00	10.00
1110051M20Rik	456.00	379.00	326.00	475.00	421.00	584.00
1110058D11Rik	0.00	0.00	0.00	0.00	0.00	0.00
1110059E24Rik	316.00	218.00	174.00	316.00	314.00	465.00
1110059G10Rik	105.00	86.00	70.00	160.00	137.00	190.00
1110065P20Rik	197.00	144.00	93.00	183.00	149.00	249.00
1190005I06Rik	0.00	0.00	0.00	0.00	0.00	0.00
1190007I07Rik	17.22	23.34	9.00	17.62	17.67	20.15
1190028D05Rik	0.00	0.00	0.00	0.00	0.00	0.00
1300002E11Rik	95.00	91.00	70.00	109.00	88.00	136.00
1300017J02Rik	2.00	3.00	0.00	0.00	0.00	0.00
1500004A13Rik	1024.43	835.30	562.77	1325.85	1082.29	1097.06
1500009C09Rik	39.00	33.00	24.00	22.00	20.00	40.00
1500009L16Rik	308.00	268.00	196.00	232.00	199.00	286.00
1500011B03Rik	315.43	286.23	193.61	398.94	388.00	570.86
1500012K07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1500015A07Rik	44.00	56.00	35.00	64.00	51.00	75.00
1500015L24Rik	0.00	0.00	0.00	0.00	0.00	0.00
1500015O10Rik	62.00	45.00	45.00	25.00	29.00	51.00
1500026H17Rik	8.00	6.00	7.00	10.00	5.00	7.00
1600002D24Rik	0.00	1.00	0.00	0.00	2.00	1.00
1600002K03Rik	25.00	26.00	13.00	18.00	19.00	35.00
1600010M07Rik	0.00	0.00	0.00	0.00	0.00	0.00
1600012H06Rik	533.00	402.00	353.00	604.00	596.00	753.00
1600014C10Rik	503.00	429.00	304.00	531.00	536.00	681.00
1600014C23Rik	0.00	0.00	0.00	0.00	0.00	1.00
1600015I10Rik	1.00	0.00	0.00	0.00	0.00	0.00
1600019K03Rik	1.00	1.00	0.00	0.00	0.00	0.00
1600020E01Rik	113.00	91.00	65.00	73.00	79.00	130.00
1600023N17Rik	8.00	1.00	0.00	2.00	3.00	3.00
1600025M17Rik	0.00	0.00	0.00	0.00	0.00	2.00
1600027J07Rik	1.00	0.00	0.00	0.00	1.00	0.00
1600029I14Rik	0.00	0.00	0.00	0.00	0.00	0.00
1600029O15Rik	10.00	10.00	8.00	7.00	2.00	2.00
1700001C02Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001C19Rik	5.00	10.00	10.00	5.00	2.00	3.00
1700001D01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001F09Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001G01Rik	0.00	0.00	0.00	0.00	0.00	0.00
1700001G11Rik	6.00	3.00	4.00	7.00	9.00	5.00
1700001G17Rik	6.00	6.00	1.00	1.00	3.00	4.00
1700001J03Rik	0.00	0.00	1.00	0.00	0.00	0.00
1700001J11Rik	7.24	2.81	2.71	5.64	0.00	5.75
1700001K19Rik	0.00	2.00	0.00	2.00	2.00	1.00
1700001K23Rik	1.00	0.00	0.00	1.00	0.00	0.00
1700001L05Rik	18.00	15.00	20.00	21.00	12.00	22.00
1700001L19Rik	1.00	1.00	0.00	0.00	0.00	1.00
1700001O22Rik	23.00	17.00	18.00	27.00	11.00	16.00
1700001P01Rik	4.00	4.00	1.00	1.00	2.00	2.00
