gene,chr,start,end,gene_biotype,coding_strand,length,genomic_position
Xkr4,1,3205901,3671498,protein_coding,-1,465597,chr1_3205901_3671498
Gm1992,1,3466587,3513553,antisense,1,46966,chr1_3466587_3513553
Gm37381,1,3905739,3986215,lincRNA,-1,80476,chr1_3905739_3986215
Rp1,1,3999557,4409241,protein_coding,-1,409684,chr1_3999557_4409241
Sox17,1,4490931,4497354,protein_coding,-1,6423,chr1_4490931_4497354
Gm37323,1,4583129,4586252,lincRNA,-1,3123,chr1_4583129_4586252
Mrpl15,1,4773206,4785739,protein_coding,-1,12533,chr1_4773206_4785739
Lypla1,1,4807788,4848410,protein_coding,1,40622,chr1_4807788_4848410
Gm37988,1,4807892,4886770,protein_coding,1,78878,chr1_4807892_4886770
Tcea1,1,4857814,4897909,protein_coding,1,40095,chr1_4857814_4897909
Rgs20,1,4909576,5070285,protein_coding,-1,160709,chr1_4909576_5070285
Gm16041,1,4970857,4976820,antisense,1,5963,chr1_4970857_4976820
Atp6v1h,1,5070018,5162529,protein_coding,1,92511,chr1_5070018_5162529
Oprk1,1,5588466,5606131,protein_coding,1,17665,chr1_5588466_5606131
Npbwr1,1,5913707,5917398,protein_coding,-1,3691,chr1_5913707_5917398
Rb1cc1,1,6206197,6276648,protein_coding,1,70451,chr1_6206197_6276648
4732440D04Rik,1,6209866,6215293,antisense,-1,5427,chr1_6209866_6215293
Alkal1,1,6359218,6394731,protein_coding,1,35513,chr1_6359218_6394731
St18,1,6487231,6860940,protein_coding,1,373709,chr1_6487231_6860940
Pcmtd1,1,7088920,7173628,protein_coding,1,84708,chr1_7088920_7173628
Gm26901,1,7349406,7397869,lincRNA,-1,48463,chr1_7349406_7397869
Gm30414,1,7497968,7518149,lincRNA,1,20181,chr1_7497968_7518149
Sntg1,1,8361475,9299878,protein_coding,-1,938403,chr1_8361475_9299878
Rrs1,1,9545408,9547455,protein_coding,1,2047,chr1_9545408_9547455
Adhfe1,1,9547948,9580673,protein_coding,1,32725,chr1_9547948_9580673
Mybl1,1,9667415,9700209,protein_coding,-1,32794,chr1_9667415_9700209
Vcpip1,1,9718622,9748382,protein_coding,-1,29760,chr1_9718622_9748382
1700034P13Rik,1,9747648,9791924,antisense,1,44276,chr1_9747648_9791924
Sgk3,1,9798107,9900845,protein_coding,1,102738,chr1_9798107_9900845
Mcmdc2,1,9908638,9942085,protein_coding,1,33447,chr1_9908638_9942085
Snhg6,1,9941959,9944118,lincRNA,-1,2159,chr1_9941959_9944118
Tcf24,1,9960163,9967932,protein_coding,-1,7769,chr1_9960163_9967932
Ppp1r42,1,9968624,10009136,protein_coding,-1,40512,chr1_9968624_10009136
Gm15818,1,9982387,9992366,antisense,1,9979,chr1_9982387_9992366
Cops5,1,10024601,10038168,protein_coding,-1,13567,chr1_10024601_10038168
Cspp1,1,10037987,10136768,protein_coding,1,98781,chr1_10037987_10136768
Arfgef1,1,10137571,10232670,protein_coding,-1,95099,chr1_10137571_10232670
Cpa6,1,10324720,10719945,protein_coding,-1,395225,chr1_10324720_10719945
Prex2,1,10993465,11303681,protein_coding,1,310216,chr1_10993465_11303681
A830018L16Rik,1,11414105,11975901,protein_coding,1,561796,chr1_11414105_11975901
Gm17644,1,12667563,12673090,lincRNA,1,5527,chr1_12667563_12673090
Sulf1,1,12692277,12861192,protein_coding,1,168915,chr1_12692277_12861192
Slco5a1,1,12866549,12992650,protein_coding,-1,126101,chr1_12866549_12992650
Gm29283,1,13068838,13078662,lincRNA,1,9824,chr1_13068838_13078662
Prdm14,1,13113457,13127163,protein_coding,-1,13706,chr1_13113457_13127163
Ncoa2,1,13139105,13374083,protein_coding,-1,234978,chr1_13139105_13374083
Gm29570,1,13376070,13388413,antisense,1,12343,chr1_13376070_13388413
Tram1,1,13564698,13589910,protein_coding,-1,25212,chr1_13564698_13589910
Lactb2,1,13623330,13660546,protein_coding,-1,37216,chr1_13623330_13660546
Xkr9,1,13668771,13701723,protein_coding,1,32952,chr1_13668771_13701723
Eya1,1,14168954,14310235,protein_coding,-1,141281,chr1_14168954_14310235
Gm9947,1,14752937,14776931,antisense,1,23994,chr1_14752937_14776931
Msc,1,14753346,14755992,protein_coding,-1,2646,chr1_14753346_14755992
Trpa1,1,14872648,14918862,protein_coding,-1,46214,chr1_14872648_14918862
Kcnb2,1,15287254,15723750,protein_coding,1,436496,chr1_15287254_15723750
Terf1,1,15805646,15844052,protein_coding,1,38406,chr1_15805646_15844052
Sbspon,1,15853862,15892722,protein_coding,-1,38860,chr1_15853862_15892722
4930444P10Rik,1,16065979,16093325,protein_coding,-1,27346,chr1_16065979_16093325
Rpl7,1,16101295,16104662,protein_coding,-1,3367,chr1_16101295_16104662
Rdh10,1,16105774,16133734,protein_coding,1,27960,chr1_16105774_16133734
Gm28095,1,16228506,16244062,antisense,1,15556,chr1_16228506_16244062
Stau2,1,16228674,16520112,protein_coding,-1,291438,chr1_16228674_16520112
Gm7568,1,16253592,16267921,antisense,1,14329,chr1_16253592_16267921
Ube2w,1,16540790,16619489,protein_coding,-1,78699,chr1_16540790_16619489
Eloc,1,16641725,16657042,protein_coding,-1,15317,chr1_16641725_16657042
D030040B21Rik,1,16657552,16662278,lincRNA,1,4726,chr1_16657552_16662278
Tmem70,1,16665207,16678275,protein_coding,1,13068,chr1_16665207_16678275
Ly96,1,16688051,16709611,protein_coding,1,21560,chr1_16688051_16709611
Gm28376,1,16898185,17091631,antisense,1,193446,chr1_16898185_17091631
Jph1,1,16964560,17097889,protein_coding,-1,133329,chr1_16964560_17097889
Gm28783,1,17124747,17128956,lincRNA,1,4209,chr1_17124747_17128956
Gdap1,1,17145362,17164271,protein_coding,1,18909,chr1_17145362_17164271
Gm28784,1,17168403,17173103,lincRNA,1,4700,chr1_17168403_17173103
Pi15,1,17601901,17630939,protein_coding,1,29038,chr1_17601901_17630939
Gm28154,1,17615084,17641081,antisense,-1,25997,chr1_17615084_17641081
Gm16070,1,17676027,17727646,antisense,-1,51619,chr1_17676027_17727646
Crispld1,1,17727045,17766344,protein_coding,1,39299,chr1_17727045_17766344
Gm28153,1,17741915,17805417,antisense,-1,63502,chr1_17741915_17805417
Crisp4,1,18115191,18145902,protein_coding,-1,30711,chr1_18115191_18145902
Defb41,1,18250980,18265138,protein_coding,-1,14158,chr1_18250980_18265138
Gm15825,1,19063300,19104840,antisense,-1,41540,chr1_19063300_19104840
Tfap2d,1,19103022,19166346,protein_coding,1,63324,chr1_19103022_19166346
Tfap2b,1,19208914,19238576,protein_coding,1,29662,chr1_19208914_19238576
Pkhd1,1,20057779,20618064,protein_coding,-1,560285,chr1_20057779_20618064
4930486I03Rik,1,20356452,20392300,antisense,1,35848,chr1_20356452_20392300
Gm28653,1,20669882,20684298,lincRNA,1,14416,chr1_20669882_20684298
Il17f,1,20777146,20790617,protein_coding,-1,13471,chr1_20777146_20790617
Mcm3,1,20802968,20820312,protein_coding,-1,17344,chr1_20802968_20820312
6720483E21Rik,1,20888650,20890473,lincRNA,-1,1823,chr1_20888650_20890473
Paqr8,1,20890606,20939650,protein_coding,1,49044,chr1_20890606_20939650
Efhc1,1,20951626,20990841,protein_coding,1,39215,chr1_20951626_20990841
Tram2,1,20996299,21079229,protein_coding,-1,82930,chr1_20996299_21079229
Gm28287,1,21080114,21081748,antisense,1,1634,chr1_21080114_21081748
Tmem14a,1,21218575,21230167,protein_coding,1,11592,chr1_21218575_21230167
Gsta3,1,21240589,21265661,protein_coding,1,25072,chr1_21240589_21265661
Gm28836,1,21250359,21271593,antisense,-1,21234,chr1_21250359_21271593
Khdc1a,1,21349641,21352200,protein_coding,1,2559,chr1_21349641_21352200
Khdc1c,1,21368331,21370845,protein_coding,1,2514,chr1_21368331_21370845
Khdc1b,1,21383556,21386373,protein_coding,1,2817,chr1_21383556_21386373
Kcnq5,1,21398403,21961942,protein_coding,-1,563539,chr1_21398403_21961942
Rims1,1,22286251,22805994,protein_coding,-1,519743,chr1_22286251_22805994
Gm27028,1,23291537,23291935,lincRNA,1,398,chr1_23291537_23291935
Gm29107,1,23293729,23294075,lincRNA,1,346,chr1_23293729_23294075
Ogfrl1,1,23366424,23397772,protein_coding,-1,31348,chr1_23366424_23397772
Gm28822,1,23574587,23596664,lincRNA,1,22077,chr1_23574587_23596664
B3gat2,1,23761753,23849158,protein_coding,1,87405,chr1_23761753_23849158
Smap1,1,23844846,23922317,protein_coding,-1,77471,chr1_23844846_23922317
Sdhaf4,1,23995939,24005656,protein_coding,-1,9717,chr1_23995939_24005656
Fam135a,1,24011093,24100341,protein_coding,-1,89248,chr1_24011093_24100341
Col9a1,1,24177610,24252684,protein_coding,1,75074,chr1_24177610_24252684
Col19a1,1,24261890,24587472,protein_coding,-1,325582,chr1_24261890_24587472
Lmbrd1,1,24678630,24766301,protein_coding,1,87671,chr1_24678630_24766301
Gm29414,1,25026581,25027232,lincRNA,-1,651,chr1_25026581_25027232
Adgrb3,1,25067476,25829707,protein_coding,-1,762231,chr1_25067476_25829707
4931408C20Rik,1,26681814,26687460,protein_coding,-1,5646,chr1_26681814_26687460
Gm5524,1,27884046,27902396,lincRNA,1,18350,chr1_27884046_27902396
Gm597,1,28776117,28780252,protein_coding,-1,4135,chr1_28776117_28780252
Gm9898,1,30718560,30719962,lincRNA,-1,1402,chr1_30718560_30719962
Phf3,1,30802339,30873921,protein_coding,-1,71582,chr1_30802339_30873921
Ptp4a1,1,30940302,30949770,protein_coding,-1,9468,chr1_30940302_30949770
Gm28644,1,31041919,31043675,lincRNA,1,1756,chr1_31041919_31043675
4931428L18Rik,1,30997842,31222684,protein_coding,-1,224842,chr1_30997842_31222684
Gm29128,1,31136026,31150105,antisense,1,14079,chr1_31136026_31150105
Lgsn,1,31176401,31204725,protein_coding,1,28324,chr1_31176401_31204725
Pih1d3,1,31222838,31224288,protein_coding,1,1450,chr1_31222838_31224288
Khdrbs2,1,32172714,32658568,protein_coding,1,485854,chr1_32172714_32658568
Gm5415,1,32543686,32547294,protein_coding,-1,3608,chr1_32543686_32547294
Prim2,1,33453810,33669795,protein_coding,-1,215985,chr1_33453810_33669795
Rab23,1,33719887,33742564,protein_coding,1,22677,chr1_33719887_33742564
Bag2,1,33745484,33757795,protein_coding,-1,12311,chr1_33745484_33757795
Zfp451,1,33761545,33814595,protein_coding,-1,53050,chr1_33761545_33814595
Bend6,1,33852052,33907816,protein_coding,-1,55764,chr1_33852052_33907816
Dst,1,33908225,34308661,protein_coding,1,400436,chr1_33908225_34308661
Gm37233,1,34427002,34433264,lincRNA,-1,6262,chr1_34427002_34433264
Ccdc115,1,34436670,34439672,protein_coding,-1,3002,chr1_34436670_34439672
Gm28306,1,34439511,34444730,antisense,-1,5219,chr1_34439511_34444730
Imp4,1,34439851,34449356,protein_coding,1,9505,chr1_34439851_34449356
Ptpn18,1,34459762,34475733,protein_coding,1,15971,chr1_34459762_34475733
4930568A12Rik,1,34477167,34485933,lincRNA,-1,8766,chr1_34477167_34485933
Cfc1,1,34535648,34544313,protein_coding,1,8665,chr1_34535648_34544313
Prss40,1,34543968,34560943,protein_coding,-1,16975,chr1_34543968_34560943
1700101I19Rik,1,34579202,34579711,antisense,-1,509,chr1_34579202_34579711
Amer3,1,34579657,34590944,protein_coding,1,11287,chr1_34579657_34590944
Arhgef4,1,34678188,34813309,protein_coding,1,135121,chr1_34678188_34813309
Gm38336,1,34809360,34811908,antisense,-1,2548,chr1_34809360_34811908
Fam168b,1,34813219,34843065,protein_coding,-1,29846,chr1_34813219_34843065
Plekhb2,1,34849976,34879580,protein_coding,1,29604,chr1_34849976_34879580
Gm37068,1,35625606,35651297,lincRNA,-1,25691,chr1_35625606_35651297
Gm28415,1,35806974,35810462,lincRNA,1,3488,chr1_35806974_35810462
1110002O04Rik,1,35879845,35881119,lincRNA,1,1274,chr1_35879845_35881119
Gm33222,1,36002985,36011044,lincRNA,-1,8059,chr1_36002985_36011044
Hs6st1,1,36068400,36106446,protein_coding,1,38046,chr1_36068400_36106446
Gm37335,1,36105384,36106446,antisense,-1,1062,chr1_36105384_36106446
Gm33280,1,36132042,36138746,lincRNA,1,6704,chr1_36132042_36138746
Uggt1,1,36140027,36244720,protein_coding,-1,104693,chr1_36140027_36244720
Neurl3,1,36264597,36274679,protein_coding,-1,10082,chr1_36264597_36274679
Arid5a,1,36307733,36324029,protein_coding,1,16296,chr1_36307733_36324029
4930403P22Rik,1,36332708,36333420,lincRNA,1,712,chr1_36332708_36333420
Kansl3,1,36335730,36369181,protein_coding,-1,33451,chr1_36335730_36369181
Fer1l5,1,36372291,36422110,protein_coding,1,49819,chr1_36372291_36422110
Lman2l,1,36419871,36445271,protein_coding,-1,25400,chr1_36419871_36445271
Cnnm4,1,36471620,36508764,protein_coding,1,37144,chr1_36471620_36508764
Cnnm3,1,36511867,36528237,protein_coding,1,16370,chr1_36511867_36528237
Gm38033,1,36527534,36528237,antisense,-1,703,chr1_36527534_36528237
Ankrd23,1,36530188,36536883,protein_coding,-1,6695,chr1_36530188_36536883
Gm42417,1,36530193,36539429,protein_coding,-1,9236,chr1_36530193_36539429
