,name,id,chr,chr_order,library,dtype,loci_name,start,end,hyb,delta,region_id
0,1:3742742-3759944,1,chr1,0,CTP11,combo,chr1_3742742_3759944,3742742,3759944,0,0,1
1,1:6245958-6258969,2,chr1,1,CTP11,combo,chr1_6245958_6258969,6245958,6258969,1,2503216,2
2,1:8740008-8759916,3,chr1,2,CTP11,combo,chr1_8740008_8759916,8740008,8759916,2,4997266,3
3,1:9627926-9637875,1,chr1,3,CTP13,combo,chr1_9627926_9637875,9627926,9637875,3,5885184,4
4,1:9799472-9811359,2,chr1,4,CTP13,combo,chr1_9799472_9811359,9799472,9811359,4,6056730,5
5,1:11247744-11257616,4,chr1,5,CTP11,combo,chr1_11247744_11257616,11247744,11257616,5,7505002,6
6,1:13741888-13757922,5,chr1,6,CTP11,combo,chr1_13741888_13757922,13741888,13757922,6,9999146,7
7,1:16251322-16259969,6,chr1,7,CTP11,combo,chr1_16251322_16259969,16251322,16259969,7,12508580,8
8,1:18749330-18759924,7,chr1,8,CTP11,combo,chr1_18749330_18759924,18749330,18759924,8,15006588,9
9,1:20920666-20929358,3,chr1,9,CTP13,combo,chr1_20920666_20929358,20920666,20929358,9,17177924,10
10,1:21249750-21259997,8,chr1,10,CTP11,combo,chr1_21249750_21259997,21249750,21259997,10,17507008,11
11,1:21522568-21534512,4,chr1,11,CTP13,combo,chr1_21522568_21534512,21522568,21534512,11,17779826,12
12,1:21732182-21745770,5,chr1,12,CTP13,combo,chr1_21732182_21745770,21732182,21745770,12,17989440,13
13,1:23267987-23280937,6,chr1,13,CTP13,combo,chr1_23267987_23280937,23267987,23280937,13,19525245,14
14,1:23749258-23759965,9,chr1,14,CTP11,combo,chr1_23749258_23759965,23749258,23759965,14,20006516,15
15,1:23956510-23970234,7,chr1,15,CTP13,combo,chr1_23956510_23970234,23956510,23970234,15,20213768,16
16,1:24241577-24251162,8,chr1,16,CTP13,combo,chr1_24241577_24251162,24241577,24251162,16,20498835,17
17,1:26243246-26258573,10,chr1,17,CTP11,combo,chr1_26243246_26258573,26243246,26258573,17,22500504,18
18,1:28745389-28759969,11,chr1,18,CTP11,combo,chr1_28745389_28759969,28745389,28759969,18,25002647,19
19,1:31240000-31259970,12,chr1,19,CTP11,combo,chr1_31240000_31259970,31240000,31259970,19,27497258,20
20,1:33752697-33759841,13,chr1,20,CTP11,combo,chr1_33752697_33759841,33752697,33759841,20,30009955,21
21,1:35544821-35559274,9,chr1,21,CTP13,combo,chr1_35544821_35559274,35544821,35559274,21,31802079,22
22,1:36078200-36086443,10,chr1,22,CTP13,combo,chr1_36078200_36086443,36078200,36086443,22,32335458,23
23,1:36250053-36259834,14,chr1,23,CTP11,combo,chr1_36250053_36259834,36250053,36259834,23,32507311,24
24,1:37089878-37099665,11,chr1,24,CTP13,combo,chr1_37089878_37099665,37089878,37099665,24,33347136,25
25,1:38751230-38759983,15,chr1,25,CTP11,combo,chr1_38751230_38759983,38751230,38759983,25,35008488,26
26,1:39088828-39097732,12,chr1,26,CTP13,combo,chr1_39088828_39097732,39088828,39097732,26,35346086,27
27,1:39755508-39765433,13,chr1,27,CTP13,combo,chr1_39755508_39765433,39755508,39765433,27,36012766,28
28,1:41248518-41259654,16,chr1,28,CTP11,combo,chr1_41248518_41259654,41248518,41259654,28,37505776,29
29,1:42246693-42257028,14,chr1,29,CTP13,combo,chr1_42246693_42257028,42246693,42257028,29,38503951,30
30,1:43752097-43759984,17,chr1,30,CTP11,combo,chr1_43752097_43759984,43752097,43759984,30,40009355,31
31,1:45891172-45902631,15,chr1,31,CTP13,combo,chr1_45891172_45902631,45891172,45902631,31,42148430,32
32,1:46240257-46258868,18,chr1,32,CTP11,combo,chr1_46240257_46258868,46240257,46258868,32,42497515,33
33,1:48742008-48759934,19,chr1,33,CTP11,combo,chr1_48742008_48759934,48742008,48759934,33,44999266,34
34,1:51127686-51139192,16,chr1,34,CTP13,combo,chr1_51127686_51139192,51127686,51139192,34,47384944,35
35,1:51245791-51259984,20,chr1,35,CTP11,combo,chr1_51245791_51259984,51245791,51259984,35,47503049,36
36,1:51617094-51626197,17,chr1,36,CTP13,combo,chr1_51617094_51626197,51617094,51626197,36,47874352,37
37,1:52660757-52671458,18,chr1,37,CTP13,combo,chr1_52660757_52671458,52660757,52671458,37,48918015,38
38,1:53741172-53759401,21,chr1,38,CTP11,combo,chr1_53741172_53759401,53741172,53759401,38,49998430,39
39,1:54851243-54861152,19,chr1,39,CTP13,combo,chr1_54851243_54861152,54851243,54861152,39,51108501,40
40,1:55201402-55215684,20,chr1,40,CTP13,combo,chr1_55201402_55215684,55201402,55215684,40,51458660,41
41,1:55447113-55457262,21,chr1,41,CTP13,combo,chr1_55447113_55457262,55447113,55457262,41,51704371,42
42,1:55687134-55701766,22,chr1,42,CTP13,combo,chr1_55687134_55701766,55687134,55701766,42,51944392,43
43,1:56249440-56259359,22,chr1,43,CTP11,combo,chr1_56249440_56259359,56249440,56259359,43,52506698,44
44,1:57210738-57220688,23,chr1,44,CTP13,combo,chr1_57210738_57220688,57210738,57220688,44,53467996,45
45,1:57812315-57822455,24,chr1,45,CTP13,combo,chr1_57812315_57822455,57812315,57822455,45,54069573,46
46,1:58728402-58741716,25,chr1,46,CTP13,combo,chr1_58728402_58741716,58728402,58741716,46,54985660,47
47,1:58748240-58759993,23,chr1,47,CTP11,combo,chr1_58748240_58759993,58748240,58759993,47,55005498,48
48,1:60466332-60477970,26,chr1,48,CTP13,combo,chr1_60466332_60477970,60466332,60477970,48,56723590,49
49,1:60843345-60864283,27,chr1,49,CTP13,combo,chr1_60843345_60864283,60843345,60864283,49,57100603,50
50,1:61248987-61259872,24,chr1,50,CTP11,combo,chr1_61248987_61259872,61248987,61259872,50,57506245,51
51,1:62926942-62936078,28,chr1,51,CTP13,combo,chr1_62926942_62936078,62926942,62936078,51,59184200,52
52,1:63750959-63759951,25,chr1,52,CTP11,combo,chr1_63750959_63759951,63750959,63759951,52,60008217,53
53,1:66249881-66259968,26,chr1,53,CTP11,combo,chr1_66249881_66259968,66249881,66259968,53,62507139,54
54,1:68095605-68108350,29,chr1,54,CTP13,combo,chr1_68095605_68108350,68095605,68108350,54,64352863,55
55,1:68746515-68772592,30,chr1,56,CTP13,combo,chr1_68746515_68772592,68746515,68772592,55,65003773,56
56,1:68746941-68759836,27,chr1,55,CTP11,combo,chr1_68746941_68759836,68746941,68759836,56,65004199,57
57,1:71245650-71259896,28,chr1,57,CTP11,combo,chr1_71245650_71259896,71245650,71259896,57,67502908,58
58,1:72440283-72449504,31,chr1,58,CTP13,combo,chr1_72440283_72449504,72440283,72449504,58,68697541,59
59,1:72605139-72614561,32,chr1,59,CTP13,combo,chr1_72605139_72614561,72605139,72614561,59,68862397,60
60,1:73563551-73577005,33,chr1,60,CTP13,combo,chr1_73563551_73577005,73563551,73577005,60,69820809,61
61,1:73752727-73759940,29,chr1,61,CTP11,combo,chr1_73752727_73759940,73752727,73759940,61,70009985,62
62,1:75449502-75457894,34,chr1,62,CTP13,combo,chr1_75449502_75457894,75449502,75457894,62,71706760,63
63,1:75872625-75902726,35,chr1,63,CTP13,combo,chr1_75872625_75902726,75872625,75902726,63,72129883,64
64,1:76250495-76259949,30,chr1,64,CTP11,combo,chr1_76250495_76259949,76250495,76259949,64,72507753,65
65,1:78742309-78759905,31,chr1,65,CTP11,combo,chr1_78742309_78759905,78742309,78759905,65,74999567,66
66,1:79813394-79865230,36,chr1,66,CTP13,combo,chr1_79813394_79865230,79813394,79865230,66,76070652,67
67,1:81249200-81260001,32,chr1,67,CTP11,combo,chr1_81249200_81260001,81249200,81260001,67,77506458,68
68,1:81293798-81304532,37,chr1,68,CTP13,combo,chr1_81293798_81304532,81293798,81304532,68,77551056,69
69,1:82457893-82468622,38,chr1,69,CTP13,combo,chr1_82457893_82468622,82457893,82468622,69,78715151,70
70,1:83353943-83364452,39,chr1,70,CTP13,combo,chr1_83353943_83364452,83353943,83364452,70,79611201,71
71,1:83750651-83759990,33,chr1,71,CTP11,combo,chr1_83750651_83759990,83750651,83759990,71,80007909,72
72,1:84215850-84225005,40,chr1,72,CTP13,combo,chr1_84215850_84225005,84215850,84225005,72,80473108,73
73,1:86251615-86259910,34,chr1,73,CTP11,combo,chr1_86251615_86259910,86251615,86259910,73,82508873,74
74,1:87015429-87024900,41,chr1,74,CTP13,combo,chr1_87015429_87024900,87015429,87024900,74,83272687,75
75,1:88751593-88760001,35,chr1,75,CTP11,combo,chr1_88751593_88760001,88751593,88760001,75,85008851,76
76,1:89158367-89170247,42,chr1,76,CTP13,combo,chr1_89158367_89170247,89158367,89170247,76,85415625,77
77,1:91252155-91259954,36,chr1,77,CTP11,combo,chr1_91252155_91259954,91252155,91259954,77,87509413,78
78,1:91440930-91449063,43,chr1,78,CTP13,combo,chr1_91440930_91449063,91440930,91449063,78,87698188,79
79,1:93214077-93222463,44,chr1,79,CTP13,combo,chr1_93214077_93222463,93214077,93222463,79,89471335,80
80,1:93751121-93759937,37,chr1,80,CTP11,combo,chr1_93751121_93759937,93751121,93759937,80,90008379,81
81,1:96240019-96259995,38,chr1,81,CTP11,combo,chr1_96240019_96259995,96240019,96259995,81,92497277,82
82,1:97633611-97642780,45,chr1,82,CTP13,combo,chr1_97633611_97642780,97633611,97642780,82,93890869,83
83,1:98745311-98760001,39,chr1,83,CTP11,combo,chr1_98745311_98760001,98745311,98760001,83,95002569,84
84,1:101248871-101259983,40,chr1,84,CTP11,combo,chr1_101248871_101259983,101248871,101259983,84,97506129,85
85,1:103741531-103759981,41,chr1,85,CTP11,combo,chr1_103741531_103759981,103741531,103759981,85,99998789,86
86,1:105987707-105995776,46,chr1,86,CTP13,combo,chr1_105987707_105995776,105987707,105995776,86,102244965,87
87,1:106240015-106259957,42,chr1,87,CTP11,combo,chr1_106240015_106259957,106240015,106259957,87,102497273,88
88,1:108745867-108759994,43,chr1,88,CTP11,combo,chr1_108745867_108759994,108745867,108759994,88,105003125,89
89,1:111240218-111253426,44,chr1,89,CTP11,combo,chr1_111240218_111253426,111240218,111253426,89,107497476,90
90,1:113740891-113757232,45,chr1,90,CTP11,combo,chr1_113740891_113757232,113740891,113757232,90,109998149,91
91,1:115766612-115779633,47,chr1,91,CTP13,combo,chr1_115766612_115779633,115766612,115779633,91,112023870,92
92,1:116250169-116259977,46,chr1,92,CTP11,combo,chr1_116250169_116259977,116250169,116259977,92,112507427,93
93,1:118750066-118759907,47,chr1,93,CTP11,combo,chr1_118750066_118759907,118750066,118759907,93,115007324,94
94,1:119471355-119481522,48,chr1,94,CTP13,combo,chr1_119471355_119481522,119471355,119481522,94,115728613,95
95,1:120191274-120201880,49,chr1,95,CTP13,combo,chr1_120191274_120201880,120191274,120201880,95,116448532,96
96,1:121247615-121259941,48,chr1,96,CTP11,combo,chr1_121247615_121259941,121247615,121259941,96,117504873,97
97,1:121460250-121469870,50,chr1,97,CTP13,combo,chr1_121460250_121469870,121460250,121469870,97,117717508,98
98,1:123750219-123759979,49,chr1,98,CTP11,combo,chr1_123750219_123759979,123750219,123759979,98,120007477,99
99,1:124736446-124747237,51,chr1,99,CTP13,combo,chr1_124736446_124747237,124736446,124747237,99,120993704,100
100,1:126250878-126259942,50,chr1,100,CTP11,combo,chr1_126250878_126259942,126250878,126259942,100,122508136,101
101,1:128750597-128759944,51,chr1,101,CTP11,combo,chr1_128750597_128759944,128750597,128759944,101,125007855,102
102,1:131252406-131259945,52,chr1,102,CTP11,combo,chr1_131252406_131259945,131252406,131259945,102,127509664,103
103,1:133751779-133759866,53,chr1,103,CTP11,combo,chr1_133751779_133759866,133751779,133759866,103,130009037,104
104,1:136250702-136259796,54,chr1,104,CTP11,combo,chr1_136250702_136259796,136250702,136259796,104,132507960,105
105,1:137926055-137936989,52,chr1,105,CTP13,combo,chr1_137926055_137936989,137926055,137936989,105,134183313,106
106,1:138748824-138759892,55,chr1,106,CTP11,combo,chr1_138748824_138759892,138748824,138759892,106,135006082,107
107,1:140441329-140457002,53,chr1,107,CTP13,combo,chr1_140441329_140457002,140441329,140457002,107,136698587,108
108,1:141240021-141259694,56,chr1,108,CTP11,combo,chr1_141240021_141259694,141240021,141259694,108,137497279,109
109,1:143748174-143759944,57,chr1,109,CTP11,combo,chr1_143748174_143759944,143748174,143759944,109,140005432,110
110,1:143881449-143914699,54,chr1,110,CTP13,combo,chr1_143881449_143914699,143881449,143914699,110,140138707,111
111,1:146244995-146259798,58,chr1,111,CTP11,combo,chr1_146244995_146259798,146244995,146259798,111,142502253,112
