loci_name,name,id,chr,chr_order,library,adjacent_genes_10kb_tss,adjacent_genes_50kb_tss,adjacent_genes_100kb_tss,adjacent_genes_200kb_tss,adjacent_genes_500kb_tss,adjacent_genes_1000kb_tss,adjacent_genes_1500kb_tss,adjacent_genes_2000kb_tss
chr1_3742742_3759944,1:3742742-3759944,1,1,0.0,CTP11,intergenic,intergenic,Xkr4,Xkr4,Gm18956; Gm7341; Xkr4,Gm18956; Gm2053; Gm6085; Gm6101; Gm6119; Gm7341; Gm7357; Gm7369; Rp1; Sox17; Xkr4,Atp6v1h; Gm16041; Gm17101; Gm18956; Gm2053; Gm6085; Gm6101; Gm6104; Gm6119; Gm6123; Gm7341; Gm7357; Gm7369; Lypla1; Mrpl15; Rgs20; Rp1; Sox17; Tcea1; Xkr4,Atp6v1h; Gm16041; Gm17101; Gm18956; Gm2053; Gm6085; Gm6101; Gm6104; Gm6119; Gm6123; Gm7182; Gm7341; Gm7357; Gm7369; Lypla1; Mrpl15; Oprk1; Rgs20; Rp1; Sox17; Tcea1; Xkr4
chr1_6245958_6258969,1:6245958-6258969,2,1,1.0,CTP11,intergenic,4732440D04Rik; Rb1cc1,4732440D04Rik; Rb1cc1,4732440D04Rik; Gm19026; Gm2147; Rb1cc1,4732440D04Rik; Gm19026; Gm2147; Npbwr1; Rb1cc1; St18,4732440D04Rik; Gm19026; Gm2147; Gm5694; Gm7182; Gm7449; Gm9826; Npbwr1; Oprk1; Pcmtd1; Rb1cc1; St18,4732440D04Rik; Atp6v1h; Gm16041; Gm17101; Gm19002; Gm19026; Gm2147; Gm26901; Gm5694; Gm6104; Gm6123; Gm7182; Gm7449; Gm7470; Gm9826; Lypla1; Mrpl15; Npbwr1; Oprk1; Pcmtd1; Rb1cc1; Rgs20; Rps2-ps2; St18; Tcea1,4732440D04Rik; Atp6v1h; Gm16041; Gm17101; Gm19002; Gm19026; Gm2053; Gm2147; Gm26901; Gm5694; Gm6085; Gm6101; Gm6104; Gm6119; Gm6123; Gm7182; Gm7357; Gm7369; Gm7449; Gm7470; Gm9826; Lypla1; Mrpl15; Npbwr1; Oprk1; Pcmtd1; Rb1cc1; Rgs20; Rp1; Rps2-ps2; Sox17; St18; Tcea1
chr1_8740008_8759916,1:8740008-8759916,3,1,2.0,CTP11,intergenic,Gm15452,Gm15452,Gm15452,Gm15452,1700034P13Rik; 2610203C22Rik; Adhfe1; Gm15452; Gm18300; Gm6161; Gm6187; Gm7512; Mybl1; Rrs1; Sntg1; Vcpip1,1700034P13Rik; 2610203C22Rik; Adhfe1; Arfgef1; Cops5; Cspp1; Gm15452; Gm18300; Gm19002; Gm26901; Gm6161; Gm6187; Gm6195; Gm7470; Gm7512; Mcmdc2; Mybl1; Ppp1r42; Rps2-ps2; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1,1700034P13Rik; 2610203C22Rik; Adhfe1; Arfgef1; Cops5; Cpa6; Cspp1; Gm15452; Gm15603; Gm15604; Gm18300; Gm19002; Gm26901; Gm5694; Gm6161; Gm6187; Gm6195; Gm7449; Gm7470; Gm7512; Gm9826; Mcmdc2; Mybl1; Pcmtd1; Ppp1r42; Rps2-ps2; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1
chr1_9627926_9637875,1:9627926-9637875,1,1,3.0,CTP13,2610203C22Rik,2610203C22Rik,2610203C22Rik; Adhfe1; Gm6161; Mybl1; Rrs1,1700034P13Rik; 2610203C22Rik; Adhfe1; Gm18300; Gm6161; Gm6195; Gm7512; Mybl1; Rrs1; Sgk3; Vcpip1,1700034P13Rik; 2610203C22Rik; Adhfe1; Cops5; Cspp1; Gm18300; Gm6161; Gm6187; Gm6195; Gm7512; Mcmdc2; Mybl1; Ppp1r42; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1,1700034P13Rik; 2610203C22Rik; Adhfe1; Arfgef1; Cops5; Cspp1; Gm15452; Gm15604; Gm18300; Gm6161; Gm6187; Gm6195; Gm7512; Mcmdc2; Mybl1; Ppp1r42; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1,1700034P13Rik; 2610203C22Rik; Adhfe1; Arfgef1; Cops5; Cpa6; Cspp1; Gm15452; Gm15603; Gm15604; Gm18300; Gm6161; Gm6187; Gm6195; Gm7512; Mcmdc2; Mybl1; Ppp1r42; Prex2; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1,1700034P13Rik; 2610203C22Rik; A830018L16Rik; Adhfe1; Arfgef1; Cops5; Cpa6; Cspp1; Gm15452; Gm15603; Gm15604; Gm18300; Gm6161; Gm6187; Gm6195; Gm7512; Mcmdc2; Mybl1; Ppp1r42; Prex2; Rps2-ps2; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1
chr1_9799472_9811359,1:9799472-9811359,2,1,4.0,CTP13,Gm6195; Sgk3,Gm6195; Sgk3,1700034P13Rik; Gm6195; Mcmdc2; Mybl1; Sgk3; Vcpip1,1700034P13Rik; 2610203C22Rik; Gm6195; Mcmdc2; Mybl1; Ppp1r42; Sgk3; Snhg6; Snord87; Tcf24; Vcpip1,1700034P13Rik; 2610203C22Rik; Adhfe1; Arfgef1; Cops5; Cspp1; Gm18300; Gm6161; Gm6187; Gm6195; Gm7512; Mcmdc2; Mybl1; Ppp1r42; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1,1700034P13Rik; 2610203C22Rik; Adhfe1; Arfgef1; Cops5; Cpa6; Cspp1; Gm15603; Gm15604; Gm18300; Gm6161; Gm6187; Gm6195; Gm7512; Mcmdc2; Mybl1; Ppp1r42; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1,1700034P13Rik; 2610203C22Rik; Adhfe1; Arfgef1; Cops5; Cpa6; Cspp1; Gm15452; Gm15603; Gm15604; Gm18300; Gm6161; Gm6187; Gm6195; Gm7512; Mcmdc2; Mybl1; Ppp1r42; Prex2; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1,1700034P13Rik; 2610203C22Rik; A830018L16Rik; Adhfe1; Arfgef1; Cops5; Cpa6; Cspp1; Gm15452; Gm15603; Gm15604; Gm18300; Gm6161; Gm6187; Gm6195; Gm7512; Mcmdc2; Mybl1; Ppp1r42; Prex2; Rrs1; Sgk3; Snhg6; Snord87; Sntg1; Tcf24; Vcpip1
chr1_11247744_11257616,1:11247744-11257616,4,1,5.0,CTP11,intergenic,intergenic,intergenic,A830018L16Rik,A830018L16Rik; Prex2,A830018L16Rik; Cpa6; Gm15603; Gm15604; Gm7560; Prex2,A830018L16Rik; Arfgef1; Cops5; Cpa6; Cspp1; Gm15603; Gm15604; Gm17644; Gm2383; Gm6195; Gm6216; Gm7560; Mcmdc2; Ppp1r42; Prex2; Sgk3; Snhg6; Snord87; Sulf1; Tcf24; Vcpip1,1700034P13Rik; 2610203C22Rik; A830018L16Rik; Adhfe1; Arfgef1; Cops5; Cpa6; Cspp1; Gm15603; Gm15604; Gm17644; Gm18300; Gm2383; Gm6161; Gm6187; Gm6195; Gm6216; Gm7512; Gm7560; Mcmdc2; Mybl1; Ppp1r42; Prex2; Rrs1; Sgk3; Slco5a1; Snhg6; Snord87; Sntg1; Sulf1; Tcf24; Vcpip1
chr1_13741888_13757922,1:13741888-13757922,5,1,6.0,CTP11,intergenic,Gm5523,Gm5523; Lactb2,Gm5523; Lactb2; Tram1,Gm5523; Gm7593; Lactb2; Ncoa2; Tram1,Eya1; Gm5523; Gm7593; Lactb2; Msc; Ncoa2; Slco5a1; Tram1,Eya1; Gm17644; Gm2383; Gm5523; Gm6216; Gm7593; Lactb2; Msc; Ncoa2; Rpl5-ps1; Slco5a1; Smt3h2-ps4; Sulf1; Tram1; Trpa1,Eya1; Gm10566; Gm17644; Gm2383; Gm5523; Gm6216; Gm7560; Gm7593; Kcnb2; Lactb2; Msc; Ncoa2; Rpl5-ps1; Slco5a1; Smt3h2-ps4; Sulf1; Tram1; Trpa1
chr1_16251322_16259969,1:16251322-16259969,6,1,7.0,CTP11,intergenic,intergenic,intergenic,4930444P10Rik; Gm7634; Rdh10; Rpl7,4930444P10Rik; D030040B21Rik; Gm6060; Gm7634; Gm7654; Ly96; Rdh10; Rpl7; Sbspon; Stau2; Terf1; Tmem70; Ube2w,4930444P10Rik; D030040B21Rik; Gdap1; Gm10566; Gm28783; Gm28784; Gm5828; Gm6060; Gm7634; Gm7654; Jph1; Kcnb2; Ly96; Rdh10; Rpl7; Sbspon; Stau2; Terf1; Tmem70; Ube2w,4930444P10Rik; Crispld1; D030040B21Rik; Gdap1; Gm10566; Gm16070; Gm28154; Gm28783; Gm28784; Gm5251; Gm5828; Gm6060; Gm6075; Gm7634; Gm7654; Jph1; Kcnb2; Ly96; Msc; Pi15; Rbm6-ps1; Rdh10; Rpl5-ps1; Rpl7; Sbspon; Smt3h2-ps4; Stau2; Terf1; Tmem70; Trpa1; Ube2w,4930444P10Rik; Crispld1; D030040B21Rik; Eya1; Gdap1; Gm10566; Gm16070; Gm18775; Gm28154; Gm28783; Gm28784; Gm5251; Gm5828; Gm6060; Gm6075; Gm7634; Gm7654; Gm7690; Jph1; Kcnb2; Ly96; Msc; Pi15; Rbm6-ps1; Rdh10; Rpl5-ps1; Rpl7; Sbspon; Smt3h2-ps4; Stau2; Terf1; Tmem70; Trpa1; Ube2w
chr1_18749330_18759924,1:18749330-18759924,7,1,8.0,CTP11,intergenic,Gm5252,Gm5252,Gm5252,Gm17837; Gm5252; Tfap2b; Tfap2d,Gm17837; Gm18775; Gm4849; Gm5252; Gm7690; Tfap2b; Tfap2d,Crispld1; Gm16070; Gm17837; Gm18775; Gm28154; Gm4849; Gm5251; Gm5252; Gm6075; Gm7690; Pi15; Rbm6-ps1; Tfap2b; Tfap2d,4930486I03Rik; Crispld1; Gdap1; Gm16070; Gm17837; Gm18775; Gm28154; Gm28783; Gm28784; Gm4849; Gm5251; Gm5252; Gm5828; Gm6075; Gm7690; Jph1; Pi15; Pkhd1; Rbm6-ps1; Tfap2b; Tfap2d
chr1_20920666_20929358,1:20920666-20929358,3,1,9.0,CTP13,intergenic,6720483E21Rik; Efhc1; Paqr8,6720483E21Rik; Efhc1; Gm20587; Paqr8,6720483E21Rik; Efhc1; Gm20587; Mcm3; Paqr8; Tram2,6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gsta3; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm7658; Gsta3; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Tmem14a; Tram2,4930486I03Rik; 6720483E21Rik; Efhc1; Gm20587; Gm2693; Gm2709; Gm28836; Gm4849; Gm5696; Gm7658; Gsta3; Kcnq5; Khdc1a; Khdc1b; Khdc1c; Mcm3; Paqr8; Pkhd1; Rims1; Tfap2b; Tfap2d; Tmem14a; Tram2
