gene,chr,start,end,gene_biotype,coding_strand,length,genomic_position
0610005C13Rik,7,45567794,45575327,antisense,-1,7533,chr7_45567794_45575327
0610009B22Rik,11,51685386,51688874,protein_coding,-1,3488,chr11_51685386_51688874
0610009E02Rik,2,26445696,26459390,processed_transcript,1,13694,chr2_26445696_26459390
0610009L18Rik,11,120348678,120351190,bidirectional_promoter_lncRNA,1,2512,chr11_120348678_120351190
0610010F05Rik,11,23564961,23633639,protein_coding,-1,68678,chr11_23564961_23633639
0610010K14Rik,11,70235206,70237914,protein_coding,-1,2708,chr11_70235206_70237914
0610012G03Rik,16,31947050,31948494,protein_coding,-1,1444,chr16_31947050_31948494
0610025J13Rik,4,98321398,98331791,antisense,1,10393,chr4_98321398_98331791
0610030E20Rik,6,72347316,72353148,protein_coding,1,5832,chr6_72347316_72353148
0610038B21Rik,8,77517056,77523898,antisense,1,6842,chr8_77517056_77523898
0610039K10Rik,2,163644850,163645801,antisense,1,951,chr2_163644850_163645801
0610040B10Rik,5,143329247,143332704,antisense,1,3457,chr5_143329247_143332704
0610040F04Rik,6,108577039,108660934,antisense,-1,83895,chr6_108577039_108660934
0610040J01Rik,5,63812363,63899625,protein_coding,1,87262,chr5_63812363_63899625
0610043K17Rik,4,101353783,101399181,lincRNA,1,45398,chr4_101353783_101399181
1110002J07Rik,10,66912489,66920258,lincRNA,-1,7769,chr10_66912489_66920258
1110002L01Rik,12,3403878,3427011,antisense,-1,23133,chr12_3403878_3427011
1110002O04Rik,1,35879845,35881119,lincRNA,1,1274,chr1_35879845_35881119
1110004F10Rik,7,116039397,116105210,protein_coding,1,65813,chr7_116039397_116105210
1110006O24Rik,5,115631049,115631816,lincRNA,-1,767,chr5_115631049_115631816
1110008P14Rik,2,32377097,32381938,protein_coding,-1,4841,chr2_32377097_32381938
1110012L19Rik,X,70385877,70389417,protein_coding,1,3540,chrX_70385877_70389417
1110017D15Rik,4,41505009,41517333,protein_coding,-1,12324,chr4_41505009_41517333
1110018N20Rik,2,167188702,167192808,processed_transcript,1,4106,chr2_167188702_167192808
1110019D14Rik,6,13871526,14044385,lincRNA,1,172859,chr6_13871526_14044385
1110020A21Rik,17,84917182,84957710,bidirectional_promoter_lncRNA,-1,40528,chr17_84917182_84957710
1110028F11Rik,11,87701396,87705331,sense_intronic,1,3935,chr11_87701396_87705331
1110032A03Rik,9,50762828,50775520,protein_coding,-1,12692,chr9_50762828_50775520
1110032F04Rik,3,68869586,68872163,protein_coding,1,2577,chr3_68869586_68872163
1110038B12Rik,17,34950238,34952471,processed_transcript,-1,2233,chr17_34950238_34952471
1110038F14Rik,15,76948506,76950979,protein_coding,1,2473,chr15_76948506_76950979
1110046J04Rik,13,33935567,33960181,antisense,1,24614,chr13_33935567_33960181
1110051M20Rik,2,91275068,91444704,protein_coding,-1,169636,chr2_91275068_91444704
1110059E24Rik,19,21581202,21652976,protein_coding,-1,71774,chr19_21581202_21652976
1110059G10Rik,9,122945089,122951000,protein_coding,-1,5911,chr9_122945089_122951000
1110065P20Rik,4,124849080,124851196,protein_coding,-1,2116,chr4_124849080_124851196
1190005I06Rik,8,120608602,120647632,protein_coding,-1,39030,chr8_120608602_120647632
1190007I07Rik,10,82619851,82623228,protein_coding,-1,3377,chr10_82619851_82623228
1300002E11Rik,16,21794318,21809040,lincRNA,1,14722,chr16_21794318_21809040
1300017J02Rik,9,103250521,103305082,protein_coding,-1,54561,chr9_103250521_103305082
1500002F19Rik,7,132874739,132931197,processed_transcript,-1,56458,chr7_132874739_132931197
1500004A13Rik,3,88782943,88832547,processed_transcript,-1,49604,chr3_88782943_88832547
1500009C09Rik,15,82252397,82260753,protein_coding,1,8356,chr15_82252397_82260753
1500009L16Rik,10,83722865,83762762,protein_coding,1,39897,chr10_83722865_83762762
1500011B03Rik,5,114808196,114823468,protein_coding,-1,15272,chr5_114808196_114823468
1500012K07Rik,7,75308696,75331419,processed_transcript,1,22723,chr7_75308696_75331419
1500015A07Rik,18,61726390,61735917,antisense,1,9527,chr18_61726390_61735917
1500015L24Rik,19,20324856,20444883,lincRNA,1,120027,chr19_20324856_20444883
1500026H17Rik,10,89686371,89700866,bidirectional_promoter_lncRNA,1,14495,chr10_89686371_89700866
1500035N22Rik,5,24985842,24998168,lincRNA,1,12326,chr5_24985842_24998168
1520401A03Rik,17,23704488,23722783,protein_coding,-1,18295,chr17_23704488_23722783
1600002D24Rik,16,95756541,95929077,lincRNA,-1,172536,chr16_95756541_95929077
1600010M07Rik,7,109998376,110151202,antisense,-1,152826,chr7_109998376_110151202
1600012H06Rik,17,14943184,14959570,protein_coding,1,16386,chr17_14943184_14959570
1600014C10Rik,7,38183217,38197568,protein_coding,1,14351,chr7_38183217_38197568
1600014C23Rik,17,45732864,45733844,protein_coding,-1,980,chr17_45732864_45733844
1600019K03Rik,16,35503170,35509419,lincRNA,-1,6249,chr16_35503170_35509419
1600020E01Rik,6,86526247,86582466,antisense,1,56219,chr6_86526247_86582466
1600027J07Rik,8,103343878,103347534,lincRNA,-1,3656,chr8_103343878_103347534
1600029O15Rik,9,58202897,58208808,transcribed_processed_pseudogene,1,5911,chr9_58202897_58208808
1700001C19Rik,17,47412733,47437376,protein_coding,-1,24643,chr17_47412733_47437376
1700001D01Rik,8,61281522,61288872,antisense,-1,7350,chr8_61281522_61288872
1700001G01Rik,18,17019051,17137559,lincRNA,1,118508,chr18_17019051_17137559
1700001G11Rik,14,66295334,66297129,processed_transcript,-1,1795,chr14_66295334_66297129
1700001J03Rik,5,146182441,146185304,protein_coding,-1,2863,chr5_146182441_146185304
1700001J11Rik,9,40050365,40053028,transcribed_processed_pseudogene,1,2663,chr9_40050365_40053028
1700001K19Rik,12,110667688,110682619,protein_coding,-1,14931,chr12_110667688_110682619
1700001K23Rik,19,53248736,53265405,lincRNA,-1,16669,chr19_53248736_53265405
1700001L05Rik,15,83353847,83367282,lincRNA,-1,13435,chr15_83353847_83367282
1700001L19Rik,13,68597421,68614231,protein_coding,1,16810,chr13_68597421_68614231
1700001O22Rik,2,30794769,30803661,protein_coding,-1,8892,chr2_30794769_30803661
1700001P01Rik,11,97771481,97775918,protein_coding,-1,4437,chr11_97771481_97775918
1700003D09Rik,11,98350718,98358283,processed_transcript,-1,7565,chr11_98350718_98358283
1700003E16Rik,6,83156404,83162945,protein_coding,1,6541,chr6_83156404_83162945
1700003F12Rik,2,154547085,154550003,protein_coding,1,2918,chr2_154547085_154550003
1700003G18Rik,7,116081759,116093159,processed_transcript,-1,11400,chr7_116081759_116093159
