,gene,chr,start,end
0,0610006L08Rik,chr7,74818817,74853813
1,0610007P14Rik,chr12,85815447,85824550
2,0610009B22Rik,chr11,51685385,51688874
3,0610009E02Rik,chr2,26445695,26459390
4,0610009L18Rik,chr11,120348677,120351190
5,0610009O20Rik,chr18,38250248,38262629
6,0610010F05Rik,chr11,23564960,23633639
7,0610010K14Rik,chr11,70235205,70237914
8,0610011F06Rik,chr17,25875463,25886007
9,0610012D04Rik,chr17,87362238,87364462
10,0610012G03Rik,chr16,31947049,31948494
11,0610025J13Rik,chr4,98321397,98331791
12,0610030E20Rik,chr6,72347316,72353148
13,0610031O16Rik,chr3,138210715,138240405
14,0610033M10Rik,chr6,51400965,51402219
15,0610037L13Rik,chr4,107889812,107899384
16,0610038B21Rik,chr8,77517055,77523898
17,0610040B10Rik,chr5,143329246,143332704
18,0610040F04Rik,chr6,108577038,108660934
19,0610040J01Rik,chr5,63812362,63899625
20,0610043K17Rik,chr4,101353782,101399181
21,1010001B22Rik,chr5,109995510,109996398
22,1010001N08Rik,chr18,11049086,11052567
23,1110001J03Rik,chr6,38533501,38539449
24,1110002J07Rik,chr10,66912488,66920258
25,1110002L01Rik,chr12,3403877,3427011
26,1110002O04Rik,chr1,35879844,35881119
27,1110004E09Rik,chr16,90925808,90934927
28,1110004F10Rik,chr7,116039396,116105210
29,1110008F13Rik,chr2,156863127,156873563
30,1110008L16Rik,chr12,55299576,55382533
31,1110008P14Rik,chr2,32377096,32381938
32,1110012L19Rik,chrX,70385876,70389417
33,1110017D15Rik,chr4,41505008,41517333
34,1110018N20Rik,chr2,167188701,167192808
35,1110019D14Rik,chr6,13871525,14044385
36,1110020A21Rik,chr17,84954966,84957710
37,1110025L11Rik,chr16,89063411,89064002
38,1110028F11Rik,chr11,87701395,87705331
39,1110028F18Rik,chr8,106587142,106594820
40,1110032A03Rik,chr9,50762827,50775520
41,1110032F04Rik,chr3,68869585,68872163
42,1110034G24Rik,chr2,132686930,132751055
43,1110036E04Rik,chr9,64049828,64054100
44,1110037F02Rik,chr4,11485957,11550684
45,1110038B12Rik,chr17,34950237,34952471
46,1110038F14Rik,chr15,76948538,76950729
47,1110046J04Rik,chr13,33935566,33960181
48,1110051M20Rik,chr2,91275067,91444704
49,1110057P08Rik,chr16,89174734,89175199
50,1110059E24Rik,chr19,21581201,21652976
51,1110059G10Rik,chr9,122945088,122951000
52,1110065P20Rik,chr4,124849079,124851196
53,1190002N15Rik,chr9,94517863,94538081
54,1190003K10Rik,chr13,64481245,64497792
55,1190005I06Rik,chr8,120608601,120647632
56,1190007I07Rik,chr10,82619850,82623228
57,1200007C13Rik,chr2,167827692,167833646
58,1300002E11Rik,chr16,21794317,21809040
59,1300017J02Rik,chr9,103250520,103305082
60,1500002F19Rik,chr7,132874738,132931197
61,1500004A13Rik,chr3,88782942,88832547
62,1500009C09Rik,chr15,82252396,82260753
63,1500009L16Rik,chr10,83722864,83762761
64,1500011B03Rik,chr5,114808195,114813976
65,1500011K16Rik,chr2,127791387,127792488
66,1500012K07Rik,chr7,75308695,75331419
67,1500015A07Rik,chr18,61726389,61735917
68,1500015L24Rik,chr19,20405287,20422787
69,1500015O10Rik,chr1,43730601,43742578
70,1500017E21Rik,chr19,36614051,36705641
71,1500026H17Rik,chr10,89686370,89700866
72,1500035N22Rik,chr5,24985841,24998168
73,1520401A03Rik,chr17,23704487,23722783
74,1600002D24Rik,chr16,95831122,95929077
75,1600002H07Rik,chr17,24215053,24220851
76,1600002K03Rik,chr10,80172943,80175146
77,1600010M07Rik,chr7,109998375,110151202
78,1600012H06Rik,chr17,14943183,14959570
79,1600012P17Rik,chr1,158967700,158980463
80,1600014C10Rik,chr7,38183216,38197568
81,1600014C23Rik,chr17,45732863,45733844
82,1600015I10Rik,chr6,48929894,48933687
83,1600019K03Rik,chr16,35503169,35509419
84,1600020E01Rik,chr6,86526246,86582466
85,1600025M17Rik,chrX,56317607,56320664
86,1600029O15Rik,chr9,58202896,58208808
87,1700001C02Rik,chr5,30466046,30484088
88,1700001C19Rik,chr17,47412733,47437376
89,1700001D01Rik,chr8,61281521,61288872
90,1700001F09Rik,chr14,43342382,43347811
91,1700001G01Rik,chr18,17019050,17137559
92,1700001G11Rik,chr14,66295333,66297129
93,1700001J03Rik,chr5,146182440,146185304
94,1700001J04Rik,chr11,114185438,114186777
95,1700001K19Rik,chr12,110667688,110682619
96,1700001L05Rik,chr15,83357525,83367282
97,1700001L19Rik,chr13,68597438,68614231
98,1700001N15Rik,chr3,143409400,143411532
99,1700001O22Rik,chr2,30794768,30803661
100,1700001P01Rik,chr11,97771480,97775918
101,1700003C15Rik,chr5,11689252,11769308
102,1700003D09Rik,chr11,98350717,98358283
103,1700003E16Rik,chr6,83156403,83162945
104,1700003E24Rik,chrX,93156153,93156873
105,1700003F12Rik,chr2,154547084,154550003
106,1700003G13Rik,chr9,45318264,45322079
107,1700003G18Rik,chr7,116081758,116093159
108,1700003H04Rik,chr3,124556351,124581101
109,1700003I16Rik,chr6,149199094,149215185
110,1700003I22Rik,chr1,56018977,56020203
111,1700003L19Rik,chr16,12811389,12848653
112,1700003M07Rik,chr4,129960373,129963657
113,1700003P14Rik,chr13,118555359,118588704
114,1700006A11Rik,chr3,124400988,124426040
115,1700006E09Rik,chr11,101984278,101992264
116,1700006F04Rik,chr14,119749224,119751564
117,1700006H21Rik,chr13,107687396,107692173
118,1700006J14Rik,chr10,120364156,120384336
119,1700007B14Rik,chr8,75448693,75984503
120,1700007F19Rik,chr3,58141706,58163807
121,1700007G11Rik,chr5,98329303,98802047
122,1700007J10Rik,chr11,59725916,59740154
