,chr,start,end,Input_count,MeCP2_count,corresponding_loci,MeCP2_signal,loci_name
0,chr1,1000001,5000000,877755.0,866459.0,chr1_3742742_3759944,-0.01868682515617427,chr1_1000001_5000000
1,chr1,4000001,8000000,1634519.0,1732543.0,chr1_6245958_6258969,0.08402501166804077,chr1_4000001_8000000
2,chr1,6000001,10000000,1532815.0,1677159.0,chr1_8740008_8759916,0.1298358831084889,chr1_6000001_10000000
3,chr1,7000001,11000000,1537072.0,1756953.0,chr1_9627926_9637875,0.1928908527555515,chr1_7000001_11000000
4,chr1,7000001,11000000,1537072.0,1756953.0,chr1_9799472_9811359,0.1928908527555515,chr1_7000001_11000000
5,chr1,9000001,13000000,1780183.0,2137925.0,chr1_11247744_11257616,0.264185687544431,chr1_9000001_13000000
6,chr1,11000001,15000000,1852897.0,2835044.0,chr1_13741888_13757922,0.613588439870109,chr1_11000001_15000000
7,chr1,14000001,18000000,1733399.0,2299689.0,chr1_16251322_16259969,0.4078349930756209,chr1_14000001_18000000
8,chr1,16000001,20000000,1645390.0,1916053.0,chr1_18749330_18759924,0.219707887513556,chr1_16000001_20000000
9,chr1,18000001,22000000,1786496.0,2092983.0,chr1_20920666_20929358,0.2284279098221418,chr1_18000001_22000000
10,chr1,19000001,23000000,1887310.0,2177799.0,chr1_21249750_21259997,0.20653939443636893,chr1_19000001_23000000
11,chr1,19000001,23000000,1887310.0,2177799.0,chr1_21522568_21534512,0.20653939443636893,chr1_19000001_23000000
12,chr1,19000001,23000000,1887310.0,2177799.0,chr1_21732182_21745770,0.20653939443636893,chr1_19000001_23000000
13,chr1,21000001,25000000,1966337.0,2531348.0,chr1_23267987_23280937,0.3643952585866141,chr1_21000001_25000000
14,chr1,21000001,25000000,1966337.0,2531348.0,chr1_23749258_23759965,0.3643952585866141,chr1_21000001_25000000
15,chr1,21000001,25000000,1966337.0,2531348.0,chr1_23956510_23970234,0.3643952585866141,chr1_21000001_25000000
16,chr1,22000001,26000000,1971437.0,2191448.0,chr1_24241577_24251162,0.15263683826653338,chr1_22000001_26000000
17,chr1,24000001,28000000,1789740.0,1491254.0,chr1_26243246_26258573,-0.2632240111237731,chr1_24000001_28000000
18,chr1,26000001,30000000,1583547.0,887716.0,chr1_28745389_28759969,-0.8349895820650787,chr1_26000001_30000000
19,chr1,29000001,33000000,1677765.0,1214896.0,chr1_31240000_31259970,-0.4657078369413001,chr1_29000001_33000000
20,chr1,31000001,35000000,1834016.0,4252880.0,chr1_33752697_33759841,1.2134339231100275,chr1_31000001_35000000
21,chr1,33000001,37000000,1927668.0,8745408.0,chr1_35544821_35559274,2.1816690925611777,chr1_33000001_37000000
22,chr1,34000001,38000000,1972826.0,10052401.0,chr1_36078200_36086443,2.34920450451836,chr1_34000001_38000000
23,chr1,34000001,38000000,1972826.0,10052401.0,chr1_36250053_36259834,2.34920450451836,chr1_34000001_38000000
24,chr1,35000001,39000000,2052384.0,9478169.0,chr1_37089878_37099665,2.2073077013924705,chr1_35000001_39000000
25,chr1,36000001,40000000,2079481.0,10668542.0,chr1_38751230_38759983,2.3590676175153837,chr1_36000001_40000000
26,chr1,37000001,41000000,2100598.0,8360327.0,chr1_39088828_39097732,1.9927592779807335,chr1_37000001_41000000
27,chr1,37000001,41000000,2100598.0,8360327.0,chr1_39755508_39765433,1.9927592779807335,chr1_37000001_41000000
