,name,id,chr,chr_order,library,dtype,loci_name,start,end,hyb,delta,region_id
0,1:3742742-3759944,1,1,0,CTP11,combo,chr1_3742742_3759944,3742742,3759944,0,0,1
1,1:6245958-6258969,2,1,1,CTP11,combo,chr1_6245958_6258969,6245958,6258969,1,2503216,2
2,1:8740008-8759916,3,1,2,CTP11,combo,chr1_8740008_8759916,8740008,8759916,2,4997266,3
3,1:9627926-9637875,1,1,3,CTP13,combo,chr1_9627926_9637875,9627926,9637875,3,5885184,4
4,1:9799472-9811359,2,1,4,CTP13,combo,chr1_9799472_9811359,9799472,9811359,4,6056730,5
5,1:11247744-11257616,4,1,5,CTP11,combo,chr1_11247744_11257616,11247744,11257616,5,7505002,6
6,1:13741888-13757922,5,1,6,CTP11,combo,chr1_13741888_13757922,13741888,13757922,6,9999146,7
7,1:16251322-16259969,6,1,7,CTP11,combo,chr1_16251322_16259969,16251322,16259969,7,12508580,8
8,1:18749330-18759924,7,1,8,CTP11,combo,chr1_18749330_18759924,18749330,18759924,8,15006588,9
9,1:20920666-20929358,3,1,9,CTP13,combo,chr1_20920666_20929358,20920666,20929358,9,17177924,10
10,1:21249750-21259997,8,1,10,CTP11,combo,chr1_21249750_21259997,21249750,21259997,10,17507008,11
11,1:21522568-21534512,4,1,11,CTP13,combo,chr1_21522568_21534512,21522568,21534512,11,17779826,12
12,1:21732182-21745770,5,1,12,CTP13,combo,chr1_21732182_21745770,21732182,21745770,12,17989440,13
13,1:23267987-23280937,6,1,13,CTP13,combo,chr1_23267987_23280937,23267987,23280937,13,19525245,14
14,1:23749258-23759965,9,1,14,CTP11,combo,chr1_23749258_23759965,23749258,23759965,14,20006516,15
15,1:23956510-23970234,7,1,15,CTP13,combo,chr1_23956510_23970234,23956510,23970234,15,20213768,16
16,1:24241577-24251162,8,1,16,CTP13,combo,chr1_24241577_24251162,24241577,24251162,16,20498835,17
17,1:26243246-26258573,10,1,17,CTP11,combo,chr1_26243246_26258573,26243246,26258573,17,22500504,18
18,1:28745389-28759969,11,1,18,CTP11,combo,chr1_28745389_28759969,28745389,28759969,18,25002647,19
19,1:31240000-31259970,12,1,19,CTP11,combo,chr1_31240000_31259970,31240000,31259970,19,27497258,20
20,1:33752697-33759841,13,1,20,CTP11,combo,chr1_33752697_33759841,33752697,33759841,20,30009955,21
21,1:35544821-35559274,9,1,21,CTP13,combo,chr1_35544821_35559274,35544821,35559274,21,31802079,22
22,1:36078200-36086443,10,1,22,CTP13,combo,chr1_36078200_36086443,36078200,36086443,22,32335458,23
23,1:36250053-36259834,14,1,23,CTP11,combo,chr1_36250053_36259834,36250053,36259834,23,32507311,24
24,1:37089878-37099665,11,1,24,CTP13,combo,chr1_37089878_37099665,37089878,37099665,24,33347136,25
25,1:38751230-38759983,15,1,25,CTP11,combo,chr1_38751230_38759983,38751230,38759983,25,35008488,26
26,1:39088828-39097732,12,1,26,CTP13,combo,chr1_39088828_39097732,39088828,39097732,26,35346086,27
27,1:39755508-39765433,13,1,27,CTP13,combo,chr1_39755508_39765433,39755508,39765433,27,36012766,28
28,1:41248518-41259654,16,1,28,CTP11,combo,chr1_41248518_41259654,41248518,41259654,28,37505776,29
29,1:42246693-42257028,14,1,29,CTP13,combo,chr1_42246693_42257028,42246693,42257028,29,38503951,30
30,1:43752097-43759984,17,1,30,CTP11,combo,chr1_43752097_43759984,43752097,43759984,30,40009355,31
31,1:45891172-45902631,15,1,31,CTP13,combo,chr1_45891172_45902631,45891172,45902631,31,42148430,32
32,1:46240257-46258868,18,1,32,CTP11,combo,chr1_46240257_46258868,46240257,46258868,32,42497515,33
33,1:48742008-48759934,19,1,33,CTP11,combo,chr1_48742008_48759934,48742008,48759934,33,44999266,34
34,1:51127686-51139192,16,1,34,CTP13,combo,chr1_51127686_51139192,51127686,51139192,34,47384944,35
35,1:51245791-51259984,20,1,35,CTP11,combo,chr1_51245791_51259984,51245791,51259984,35,47503049,36
36,1:51617094-51626197,17,1,36,CTP13,combo,chr1_51617094_51626197,51617094,51626197,36,47874352,37
37,1:52660757-52671458,18,1,37,CTP13,combo,chr1_52660757_52671458,52660757,52671458,37,48918015,38
38,1:53741172-53759401,21,1,38,CTP11,combo,chr1_53741172_53759401,53741172,53759401,38,49998430,39
39,1:54851243-54861152,19,1,39,CTP13,combo,chr1_54851243_54861152,54851243,54861152,39,51108501,40
40,1:55201402-55215684,20,1,40,CTP13,combo,chr1_55201402_55215684,55201402,55215684,40,51458660,41
41,1:55447113-55457262,21,1,41,CTP13,combo,chr1_55447113_55457262,55447113,55457262,41,51704371,42
42,1:55687134-55701766,22,1,42,CTP13,combo,chr1_55687134_55701766,55687134,55701766,42,51944392,43
43,1:56249440-56259359,22,1,43,CTP11,combo,chr1_56249440_56259359,56249440,56259359,43,52506698,44
44,1:57210738-57220688,23,1,44,CTP13,combo,chr1_57210738_57220688,57210738,57220688,44,53467996,45
45,1:57812315-57822455,24,1,45,CTP13,combo,chr1_57812315_57822455,57812315,57822455,45,54069573,46
